Date,User_Base_(Number_of_Users),Average_Time_Spent_(in_minutes),Content_Completion_Rate_(%),Student_Test_Score_Improvement_(%),Student_Satisfaction_(%),Revenue_Growth_(Year-over-Year_%),Funding_Round_Amount_(in_millions_USD),Market_Share_(%),Social_Media_Sentiment_Score,News_Article_Sentiment_Score,Number_of_Courses_Offered,Regional_Performance_Score,Focus_on_Adaptive_Learning_(Yes/No),Expert_Faculty_(Yes/No),Countries_of_Operation,Strategic_Partnerships_(Yes/No),Government_Initiatives_(Yes/No),Byju's_Future_Plans,Market_Size_(in_millions_USD)
06-03-2016,1447906.598,21.90917042,83.9361766,15.46526345,90.09966772,47.41766798,118.6932983,38.55455022,1.000147212,0.718797454,122.2341258,0.900579967,No, Yes                   ," India, USA, UK, Australia ", Yes                          ,No, Launch new app     ,551.1785606
07-03-2016,1346978.411,24.36417885,102.6248605,19.35475492,92.22242718,39.42364317,87.05891647,39.61248673,0.868582348,0.805418908,117.4674974,0.845494302, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Acquire competitor ,499.521277
08-03-2016,1213120.538,22.87504278,83.32648396,15.91906601,92.04441635,40.03342304,68.4502331,43.13262357,0.973431184,0.859820945,150.5904262,0.900011982,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch AI tutor    ,621.0377277
09-03-2016,1256677.555,22.16997669,102.1678672,17.17374209,89.28263147,55.38531652,45.45264775,39.26180379,0.68658444,0.793858793,126.9790663,0.967391938, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Greedy gamification,596.9649632
10-03-2016,1415136.2,18.82801073,88.13332201,26.01182177,92.18336333,36.29966784,90.38548872,35.06222673,0.913255687,0.870406185,167.9514194,0.929134051,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,699.4752856
11-03-2016,1372936.199,25.53999307,82.56992018,30.6006748,94.63139075,28.03584849,141.5495702,35.77645279,0.955227709,0.745143868,173.8982714,0.980343417, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Enter Middle East  ,529.3987893
12-03-2016,1471885.918,25.08910765,101.2769239,25.84366921,91.05892202,40.17922374,131.9046443,37.99307945,0.865276348,0.827738645,162.9170149,0.924034238, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                        , Launch new app     ,567.4259294
13-03-2016,1222370.323,18.61541492,102.0300303,16.22222842,90.37027705,26.96476607,87.0406223,34.8017184,0.964074838,0.84974237,110.2929954,1.019881165, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Partner with schools,545.244759
14-03-2016,1461391.526,17.76376141,94.88118008,14.28648457,96.27847013,28.21815221,55.66807349,47.79449423,0.742641321,0.539043856,164.1786748,0.824715105,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,664.5967072
15-03-2016,1158279.582,28.61859413,93.41366348,27.01353814,91.9037666,42.26589672,66.02013548,35.01340087,0.846679349,0.69508756,136.5906287,0.94987229,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         ,Dynamic learning trials,535.268366
16-03-2016,1398109.683,32.69362573,88.21722399,36.54916067,100.1730756,41.94617133,97.83325648,39.51931391,0.828541,0.654236922,162.4526539,0.894386637, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Asia     ,550.3818407
17-03-2016,1283115.03,24.29574407,92.0865407,17.96278231,77.81630427,32.05094218,99.58949009,40.4726008,0.886474122,0.60849818,164.7689431,0.979548507, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                        ,Greedy gamification,618.586421
18-03-2016,1499361.736,24.83612957,78.6923012,26.69890263,91.77176518,34.5427086,93.36767709,38.61390697,0.956668336,0.702293027,87.00871501,0.880186227, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         ,Interactive learning,528.0413622
19-03-2016,887395.8451,19.52488399,94.88112028,32.56782029,99.86465797,16.75139164,97.95813825,35.61436979,0.942556934,0.704852418,155.7572579,0.803015651,No, Yes                   ," India, USA, UK         ",No,No, Expand to Africa   ,601.5574378
20-03-2016,1251372.371,28.60549652,89.63718462,20.14746837,90.37078313,44.79484486,105.9182695,39.57564376,0.940128716,0.740776424,148.4418632,0.909517233, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Partner with schools,579.889391
21-03-2016,1361605.047,30.76481878,96.21341285,22.73528188,88.49360276,48.81608446,57.79735855,36.56241085,0.956411103,0.725730691,146.7395936,0.950086895, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire smaller startup,520.765123
22-03-2016,1268038.483,28.15885082,91.3132542,28.35974079,93.76404813,28.09827169,73.80854274,31.75887627,0.851039885,0.638399052,123.384459,0.915796285, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch AI tutor    ,540.8969586
23-03-2016,1633354.834,28.08578891,94.279382,30.50364037,86.80551333,45.801661,68.35321962,37.40802509,0.880576816,0.756246389,93.3623764,0.976872815, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         ,Interactive learning,646.7056703
24-03-2016,1320853.619,26.42130045,92.91242856,23.44281519,81.69443814,40.20385224,65.85054563,32.63861064,0.861735139,0.804156024,160.9237525,0.939959926, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                        ,Greedy gamification,656.1594595
25-03-2016,1233854.706,23.36175395,96.93670313,17.94767329,92.79501764,39.4683145,37.19879605,43.10900087,0.942322955,0.666507761,112.0876632,0.888686163, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Partner with schools,555.664163
26-03-2016,1006941.013,25.93333759,88.7677399,12.74275595,94.429142,39.92677422,78.76566662,30.99577263,0.795062769,0.802136234,159.5123498,0.956834451, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        ,Dynamic learning trials,558.4418254
27-03-2016,1407071.165,25.48152258,106.6427881,12.12562832,91.42263589,26.93743315,101.5253631,35.32031752,0.847789483,0.669412579,115.6720472,0.927875471, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch new app     ,550.1357664
28-03-2016,1095219.387,29.88865489,78.11540837,25.1716183,98.92487483,43.13375986,95.57251715,38.32824561,0.740204105,0.746936662,133.9380673,0.885111299, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,549.0898361
29-03-2016,1036712.269,31.42459647,87.49047963,21.98571289,87.49745914,60.02333322,99.47106548,38.74630679,0.832551262,0.895600569,129.8856041,0.903397179, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        , Launch new app     ,537.000731
30-03-2016,1352390.701,28.28180992,86.33726103,20.58103892,98.27331353,55.44538684,98.32392741,35.48819937,1.011617047,0.671563461,145.0882774,0.81452147, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         , Launch AI tutor    ,572.3141699
31-03-2016,1657097.502,20.90251383,93.61778041,13.80445358,92.51250244,48.68845647,102.0490788,38.72834246,0.866800475,0.676251187,104.0427258,0.821613199, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         , Launch AI tutor    ,551.8855627
01-04-2016,1191784.685,23.44595305,86.16627091,28.34970322,92.55639978,29.99921657,86.34102928,33.70124453,1.122586015,0.737604523,131.8020212,0.85159839, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         , Expand to Asia     ,623.6586588
02-04-2016,1350287.148,22.17297427,99.36425081,11.14587692,95.60046674,50.02646189,83.27512539,32.94935602,0.821154967,0.777934528,159.9147697,0.942555566, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Africa   ,571.2974848
03-04-2016,1297464.678,31.56391308,91.9575723,17.62715349,93.48239336,59.32497671,68.70246551,41.85973086,0.882055817,0.878964574,146.9275962,0.886668828, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Enter Middle East  ,537.3102533
04-04-2016,1324080.883,22.84145704,104.4966568,28.19915822,102.4740587,33.92934409,69.46373893,42.87262703,0.843058226,0.497600819,112.4566966,0.902886949,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,480.4968831
05-04-2016,1115109.766,19.74924274,86.23729568,35.25262463,84.90140989,33.50178919,94.13536652,37.15644119,0.842371822,0.848877746,144.5017439,0.920479216, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Greedy gamification,574.4878459
06-04-2016,1448892.07,23.84306346,96.12613976,45.04549806,95.19433642,36.26101339,107.0535892,27.92350036,0.990614853,0.566039337,178.7858889,0.910176848, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Asia     ,572.0815349
07-04-2016,1108163.487,18.32645786,78.00304149,19.67279775,91.81464093,36.00853431,91.55905718,35.01954808,0.978264393,0.735353781,170.1539068,0.974124908, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Asia     ,521.3632846
08-04-2016,1417012.569,25.68572166,79.45913765,20.30627688,94.20864551,30.20485441,95.93904354,43.27945346,0.8713166,0.788931502,115.8042274,0.835748037, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,556.4347319
09-04-2016,1117332.892,22.75741243,90.706116,28.01398013,95.8779366,50.85733237,71.65857235,38.29213559,1.011236622,0.872944122,166.5422414,0.830355199, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire competitor ,549.2359921
10-04-2016,1266785.242,26.84603244,94.22961541,15.24023518,86.27610163,42.9749858,63.80946838,43.64199823,0.975058052,0.747454575,141.8947246,0.90462008, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Greedy gamification,594.7730734
11-04-2016,1143448.73,37.95661628,86.32718076,36.35418634,90.08320715,16.81038975,66.21021248,30.05474605,1.003841563,0.776362782,120.4847047,0.876373712, Yes                               ,No," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Interactive learning,577.8531277
12-04-2016,1078267.362,26.13557749,92.16325277,26.90698426,82.22559593,41.50636422,85.47537089,38.09677453,0.873223767,0.70585775,135.1454584,0.849124572,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                        , Expand to Asia     ,585.8469076
13-04-2016,1185206.905,27.6860259,96.40248076,34.81491477,88.73639952,43.66403995,73.74592569,36.2175857,0.748304649,0.756439342,149.7607898,0.886280219, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                        , Partner with schools,670.6221578
14-04-2016,1446903.203,26.40937502,87.85917987,30.56864985,92.63124419,33.2333944,97.19023984,30.5524578,1.027275331,0.805733662,160.211133,0.975177457, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Greedy gamification,551.9046415
15-04-2016,1242887.142,30.859814,88.56861105,22.01943197,83.52566471,43.79640908,98.23604343,36.0184516,0.982403079,0.800512218,115.0453338,0.940945232,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire smaller startup,560.5484867
16-04-2016,1476479.348,22.97919025,90.3987533,28.20303408,97.75981616,46.07901575,44.89218912,43.15848926,0.862965018,0.976108958,198.629639,0.963142718,No,No," India, USA, UK, Australia, Singapore, UAE, Brazil ",No, Yes                         ,Greedy gamification,512.9721683
17-04-2016,1369358.949,21.15377751,104.6309858,14.77594554,87.53587592,22.4146314,65.36219677,36.07591899,0.827670591,0.646909334,118.4099755,0.933079104, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire smaller startup,574.50703
18-04-2016,1440687.603,28.62919959,97.55718795,12.93870157,91.29160118,36.58811737,102.6799057,41.34955391,1.054301425,0.594848628,140.1811031,0.868968842, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         ,Dynamic learning trials,582.6895034
19-04-2016,1321471.759,24.24230985,84.7546011,23.21847643,91.61330083,20.59429453,93.99542771,40.60028153,0.795800364,0.589523985,100.230398,1.013491271, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire competitor ,578.740749
20-04-2016,1174287.138,26.55167647,84.85112498,6.917250187,88.02142379,44.00694935,78.69486543,37.92632982,0.8567177,0.70730188,127.2192448,0.945271014, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Launch new feature,575.6274818
21-04-2016,1083076.59,27.38474854,95.76046778,26.88063452,91.2624764,43.43704612,90.29455494,39.36862111,0.886707187,0.788905371,99.41668216,0.930932948,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Europe   ,543.7975335
22-04-2016,1373213.611,25.4899968,88.49183811,28.96704442,97.90368021,36.85061885,111.2262975,37.86049054,0.96059071,0.791674996,137.2062581,0.984988466,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch new app     ,603.6631024
23-04-2016,1343833.587,26.40509587,91.6406086,36.21220787,92.57677096,50.8011553,79.93201488,32.98461687,0.916497045,0.970799325,164.4230011,0.939556989, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,570.8043376
24-04-2016,1217549.559,31.83885789,100.8525952,5.397968892,90.63462784,55.14766848,85.44316842,35.57839189,0.973740122,0.700732913,97.39213987,0.888828849, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         , Expand to Asia     ,579.4478757
25-04-2016,1671628.872,30.62192603,95.53466672,26.64440804,86.42052552,52.98549213,82.62461443,34.84788259,0.855190316,0.868088922,148.0768368,0.934020031,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,594.6588669
26-04-2016,1409394.104,30.81333682,99.27410785,29.85827987,95.0440834,51.76962467,82.22018376,38.99112755,1.156737351,0.840877941,145.4903351,0.880253474,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Asia     ,546.9446419
27-04-2016,1064094.817,32.21077053,89.88504343,15.17229484,92.73569476,50.3959153,102.0561809,36.94485968,0.923795589,0.724047878,81.27138845,0.870830976, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          , Yes                         ,Dynamic learning trials,546.1542777
28-04-2016,1310051.903,23.68312015,87.87444931,10.74651347,95.37516041,48.30465732,69.73650067,32.59690008,0.958412805,0.759074169,127.1277254,0.898358155, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          ,No, Enter Middle East  ,578.4097624
29-04-2016,1063648.781,28.35203108,90.32393488,23.4394553,93.3855822,40.52409438,93.95291734,36.165587,0.942692456,0.838934894,140.0816837,0.952595435, Yes                               , Yes                   ," India, USA             ", Yes                          ,No,Interactive learning,629.2277617
30-04-2016,1180189.397,18.83324846,90.34110274,29.70165377,86.78030828,57.64452993,96.92819095,41.25142441,0.996953147,0.615042741,94.72171856,0.96859575, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Dynamic learning trials,664.8145769
01-05-2016,1394295.733,20.00088376,91.01224748,34.59903975,97.0890058,29.61210731,99.23135996,28.70696749,0.880928182,0.758405633,129.4947242,1.015839234, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,561.5042412
02-05-2016,1380395.538,32.2239327,84.17405863,14.33361651,90.103939,44.77288777,92.09971938,38.68016262,0.845912051,0.871976571,136.7537671,0.936086787, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Expand to Africa   ,633.5530394
03-05-2016,1343202.24,21.57003624,100.6750315,27.95464377,84.92618082,42.55870841,83.66188106,44.563286,0.991638957,0.8048348,133.9297292,0.807346171, Yes                               , Yes                   ," India, USA             ",No, Yes                         , Expand to Africa   ,565.5552144
04-05-2016,1105887.731,22.34935936,88.56822898,14.53556707,90.99472685,41.81928574,77.45206588,34.29900806,0.895654797,0.883666582,139.8233094,0.995675536, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,608.8361749
05-05-2016,996493.103,23.71106381,90.90917874,30.30691597,96.98417736,38.21643719,47.21135405,36.71472512,0.751721474,0.833441817,124.0721672,0.887323913, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Interactive learning,547.0405652
06-05-2016,973598.2758,29.19780967,86.12599892,13.76272747,88.49095986,49.07791404,96.29667765,35.33480779,0.986952496,0.728464882,156.3551175,0.97193721, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Greedy gamification,587.9080681
07-05-2016,1513711.093,30.7874433,98.6170476,12.36600787,82.79943222,46.99129931,88.4032817,36.72504434,0.887608315,0.782893925,123.3737583,0.977959566, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Dynamic learning trials,508.7369533
08-05-2016,1236298.387,17.595022,94.25486311,5.966844696,96.45420043,33.10180413,110.004293,33.19533705,0.936421683,0.74415637,126.464016,0.949902835, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                        , Enter Middle East  ,563.2948867
09-05-2016,1345477.605,28.96339294,94.06619358,15.75983369,86.53798068,18.51271168,124.0073598,36.20277792,0.740471789,0.903386919,121.5537689,0.981488093,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Acquire smaller startup,590.1161404
10-05-2016,1507276.34,30.23978087,96.45457175,24.56543462,97.29501155,43.01223704,61.47646659,36.73416004,0.93099617,0.948925723,132.5820169,0.897032157, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Asia     ,584.127211
11-05-2016,1105220.164,27.61471118,90.0162832,26.62275816,92.51387811,20.81546382,75.68215648,45.03270992,0.88026843,0.836112809,156.7961561,0.998223284,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,525.6048698
12-05-2016,1314674.304,31.82140768,92.38752348,34.1134603,90.88341564,50.49518819,50.73631942,39.306242,0.911036386,0.741017582,121.8521275,0.930235677,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Africa   ,629.9906623
13-05-2016,1310774.603,30.4707517,100.2763911,22.04821809,93.43784308,39.18088047,76.63054938,42.54762445,0.982404934,0.696519265,159.7291944,0.882011413,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE, Brazil ", Yes                          ,No, Expand to Africa   ,476.1903792
14-05-2016,1029099.966,19.92221119,85.87867966,40.6129526,90.33859764,46.41294926,88.29217838,32.63832485,0.893365263,0.712468943,131.3027197,0.970891267,No,No," India, USA, UK, Australia ", Yes                          , Yes                         , Enter Middle East  ,520.3232353
15-05-2016,1572666.029,35.50800094,97.28033991,30.18282059,90.98598821,35.08962731,110.9956086,40.56460168,0.854246524,0.668381004,135.3884376,0.859273358, Yes                               ,No," India, USA, UK, Australia ",No, Yes                         , Expand to Africa   ,537.1576442
16-05-2016,1075035.889,30.8150553,93.84216195,18.7712622,90.58011382,74.42139632,91.75342179,33.9427506,0.947860707,0.647916192,155.4821089,0.84207917, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Greedy gamification,657.5595561
17-05-2016,1177537.243,30.15282137,94.38472794,30.49109866,101.3163582,36.46912822,80.94114325,39.54924357,0.828946847,0.846721738,142.9509273,0.883112569, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Europe   ,552.3246429
18-05-2016,1348928.4,19.07340248,94.08428206,3.108953955,94.08229188,42.43270133,98.33491913,34.88280604,0.964090533,0.784908222,154.3816825,0.852059454, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,605.4591313
19-05-2016,1255440.669,30.91606834,95.81256762,25.4068597,88.20382795,44.98548322,105.7531338,42.38312253,1.022301941,0.910647678,135.084506,0.86399158, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Dynamic learning trials,585.4861746
20-05-2016,1175079.709,32.0330857,94.3339337,29.4863908,89.87204863,40.92793295,118.8816949,38.56588759,0.713078639,0.614091285,158.5404139,0.876367592, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ",No, Yes                         , Expand to Europe   ,586.3816792
21-05-2016,1067283.306,25.68523577,93.59268904,16.05095415,84.88970409,29.64853428,87.00745254,37.06404775,0.94247218,0.778509005,118.8816071,0.959814843, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         ,Greedy gamification,592.3833367
22-05-2016,1130314.327,27.41431973,83.57149956,40.75509748,92.42836534,33.87516875,58.98213319,27.34796468,0.708536292,0.7669528,139.1301244,0.930438047, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ",No, Yes                        ,Dynamic learning trials,511.1053395
23-05-2016,1256477.664,32.87859382,99.46510087,23.59590204,82.48275679,50.54951143,93.80179757,29.51879473,0.951912608,0.525241013,146.8935244,0.92819017, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Greedy gamification,639.2674118
24-05-2016,1338069.519,25.13869083,95.57056838,36.79921047,97.51501067,55.88171545,108.9997555,34.10772866,0.839115932,0.797053257,156.2752447,0.867935832,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,589.358827
25-05-2016,1048949.13,21.7580013,89.39222587,25.29574507,87.49880299,55.00089662,71.08245606,37.1547817,0.917553129,0.501492427,128.2944683,0.944291692,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Asia     ,583.3790933
26-05-2016,1320505.367,32.37871314,100.2356583,27.13049205,92.23706737,57.60884261,110.9047662,38.39216343,0.919724923,0.438985514,129.1511779,0.836042684,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Europe   ,573.6463788
27-05-2016,1014536.588,28.64384823,83.96785305,16.08808339,84.13740097,26.93959474,72.36209042,39.84867328,0.681295098,0.710066102,135.3639335,0.924002642, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire competitor ,512.9973702
28-05-2016,1516831.868,24.79818054,96.83546323,18.89625135,87.36986458,40.33702038,59.89803532,41.08671224,0.796507349,0.936312893,138.9000044,0.837580486, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch AI tutor    ,555.3741757
29-05-2016,1273829.04,28.30932855,91.89839785,24.64137857,90.09428403,47.10281661,88.49247229,33.57198605,1.14773534,0.696804056,120.4861854,0.991550163,No,No," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,665.6006473
30-05-2016,1387003.449,28.52957738,90.06794906,27.97711892,97.76203226,48.18012088,110.2431763,41.56069318,1.147742132,0.729939917,92.37452389,0.927698072, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Enter Middle East  ,578.8208114
31-05-2016,1332700.312,34.90214631,99.94798204,27.63155672,86.35926215,33.49632516,69.70498292,36.20556607,0.717630542,0.568372745,131.7391039,0.910824625,No,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Asia     ,607.5631639
01-06-2016,1330625.73,24.09549587,88.05502951,15.30302531,88.4991753,37.59849352,85.10108459,43.09768346,1.025766674,0.76059897,170.7257374,0.893406763,No,No," India, USA, UK, Australia, Singapore ", Yes                          ,No, Expand to Asia     ,571.434262
02-06-2016,1038758.515,31.44419994,89.82184112,28.17079089,96.4685458,32.56493797,71.04809904,39.5217109,0.957108753,0.819302845,120.1812129,0.837458384, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Expand to Asia     ,559.6497457
03-06-2016,1584454.635,22.89819531,97.78645629,16.46167177,90.25609234,39.49961833,85.20775843,35.47702026,0.854275752,0.779691986,142.449572,0.937151403, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,530.8417013
04-06-2016,1192162.892,25.81534701,90.1691365,14.43017571,89.54067936,34.19718062,90.13714223,40.08709495,0.790160853,0.795939121,149.6429836,0.922621674, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Europe   ,542.6502381
05-06-2016,1368555.183,29.42952208,101.991919,15.27029998,92.69742203,42.14458911,91.6014867,36.79456188,0.932930253,0.967459106,140.4941066,0.911273087, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Expand to Africa   ,585.8845765
06-06-2016,1503667.465,30.14535624,87.48716024,20.42193001,90.08973656,43.81138172,119.6027767,34.29733653,0.683031061,1.016414622,168.9874702,0.921825705, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Launch AI tutor    ,638.4067636
07-06-2016,1534767.673,25.21286928,88.10380488,26.87173715,96.31346357,37.09631654,61.97973198,44.39965472,0.8976549,0.858935464,149.7979359,0.903912521, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,542.8724609
08-06-2016,1192118.519,33.75088843,83.47281534,18.90879496,94.7521183,40.0694794,78.70747954,34.18937881,0.888970662,0.665156774,127.4758358,0.939799722, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         , Launch AI tutor    ,575.8520079
09-06-2016,1275660.865,28.98004864,93.74925836,31.83793009,90.44887626,35.73015633,75.42436379,38.29396042,0.886025955,0.653421056,151.7315067,0.948677814, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ",No, Yes                         , Expand to Europe   ,536.2556656
10-06-2016,1165157.204,28.97551779,94.52517576,38.75214801,98.89151261,29.58321978,91.87276851,36.60814229,0.973044977,0.821826463,159.6833112,0.922333825, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                        , Launch new feature,567.0382914
11-06-2016,1386699.519,26.39215701,91.16410326,26.84139939,93.54739708,29.50118399,61.81685958,37.81816826,0.780498426,0.907614829,145.2850954,0.97374435, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Launch new app     ,598.6675839
12-06-2016,1449773.393,29.81698996,90.75986241,31.774923,92.00866618,49.52362147,87.68610553,36.39585226,0.74744741,0.779684315,136.6144132,0.972148091, Yes                               , Yes                   ," India, USA             ", Yes                          , Yes                         , Launch new feature,645.692995
13-06-2016,1387618.21,27.83495586,83.48340855,44.77116884,95.2741056,50.25404963,81.79761516,31.96613591,0.837609528,0.750671888,135.1245249,0.972490755, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Greedy gamification,547.6126917
14-06-2016,1102241.224,33.42716501,90.77840192,24.74620676,88.14329055,65.2003796,85.30075084,37.3828239,0.760340896,0.76689506,133.5393663,0.916619562, Yes                               , Yes                   ," India, USA, UK, Australia ",No, Yes                         ,Interactive learning,572.0678423
15-06-2016,1174922.325,27.00471066,89.69528842,18.60622486,88.78820454,31.93739509,63.17415235,32.40618372,0.944812841,0.580931908,154.1573609,0.947190258,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Enter Middle East  ,657.1348617
